uuid,Title,Author,Year of publication
c9d6cf27-8628-42e6-72f7-8125f8ab9ef2,[Cyrillic: Key to Solomon's magic (clavicula Solomonis) volume II],Solomon,2022
f73518b9-800c-6418-f522-0324959bee63,[Cyrillic: Life of Jan Amos Comenius],"Kratochvíl, Milos V",1991
1b4ff185-e3f3-4373-b9ea-cba788381ddf,[Cyrillic: Magic of Arbatel],"Agrippa, Henricus Cornelius",1912
b8954b2d-2a21-1e2f-932b-21096acba365,[Cyrillic: Marseille Tarot: from the first engravings to the present day],"Dvinyaninova, A.R.",2023
a12637e8-8832-9949-0463-e5c3d8908843,[Cyrillic: Mystica],"Steiner, Rudolf",1993
67d576b3-3b44-736c-306c-a5f33f77b516,[Cyrillic: Novikov and Russian Freemasonry],,1996
37a355bc-138f-0156-7340-12d51f1f1416,[Cyrillic: On the unreliability of the worldly arts and sciences],"Agrippa, Henricus Cornelius",2023
c9a41852-17d0-2278-fb06-5439cba9250e,[Cyrillic: Operations des sept esprits des planètes. Liber Armadel],,2020
b4cc7301-b62e-d7a7-3303-e7cf6864939f,[Cyrillic: Origin of the zodiac: ancient history of constellations],"Saplin, Alexander",2022
52a3e6a4-4077-883a-de0d-b7264a3e9bfb,[Cyrillic: Predictional magic of Grimoire],,2023
ea164631-38a4-3e95-982f-613919d4daff,[Cyrillic: Preparatory Aphorisms (Propaedeurmata Aphoristica)],"Dee, John",2021
93853a1a-fcc5-53cd-1578-938e549b7ac2,"[cyrillic: Puty Germesa] Ways of Hermes. Catalogue to the exhibition in Moscow, 14 February 200814 feb 2008Moskou. VGBIL",anonymous,2008
0f8bde7b-5ade-d7a0-2df7-60b976a5fa42,[cyrillic: Puty Germesa] Ways of Hermes. Conference proceedings of an international symposium held on 14 February 200814 feb 2008Moskou. VGBIL,,2008
24279499-331f-7244-e75b-e4b8ee1b2282,"[Cyrillic: Religion after religion: Gershom Scholem, Mircea Eliade and Henri Corbin in Eranos]","Wasserstrom, Stephen",2022
63c38a68-1565-5d43-88fd-483a3187b475,[Cyrillic: Russian Freemasonry 1731-2000. Encyclopedic dictionary],"Serkov, A.I",2001
96e458c2-c587-568a-cd79-d1fda68aedeb,[Cyrillic: Solomon's formation or Solomon's key to magic],Solomon,2021
f8c20401-d8f6-c2cb-fa85-de1f4906051a,"[Cyrillic: The acetone (Acetonol), the secret ""wine spirit"" of adepts]","Becker, K. A.",2022
6892d87b-bd71-2c9e-b3f2-8cdac9f63e5e,[Cyrillic: The apostel of the Good. About N.I. Novikov],"Nekrasov, Sergej M",1994
d6683b39-73f5-6699-a36b-bf2ec70c5419,[Cyrillic: The art of distillation],"French, John",2022
6d2e7271-898a-c2c0-96d8-c51203a74d7e,[Cyrillic: The book  of the angel Raziel],Raziel,2020
95d6da9b-e858-fd0a-6c34-dcd3172d2190,[Cyrillic: the book of the angel Raziel (sefer Raziel) volume II],Raziel,2021
4c1cafba-4fe1-57e9-155f-7b547e41295f,[Cyrillic: The call of the Rosycross. Four centuries of living tradition],,2005
38d0937d-7e15-e4df-2b33-67b9f05c3a6d,[Cyrillic: The call of the Rosycross. Four centuries of living tradition],"Smit, Frans",2004
246b34dc-a945-4bfc-3c24-a2c01dfe2f12,[Cyrillic: The cosmo-conception],"Grasshoff, Carl Louis Fredrik",1994
